theme_synonym_id,n,matched_theme_set
904318,16,"['05_08_25', '05_15_19', '08_09_15', '08_14_15', '08_15_25', '15_19_21']"
4477734,14,"['04_11_13', '06_10_11', '06_11_13', '07_11_13', '10_11_13', '11_13_23']"
4687752,14,"['03_10_19', '07_10_12', '08_10_12', '08_12_23', '10_12_19', '10_12_23']"
4724823,14,"['03_11_15', '03_15_24', '04_11_16', '11_12_15', '11_16_24', '12_15_24']"
6590188,12,"['01_12_26', '01_13_20', '01_13_26', '12_13_20', '12_20_26', '13_20_24']"
250074,10,"['06_08_26', '06_10_26', '10_18_22', '10_18_26', '10_19_26', '10_23_26']"
270318,10,"['04_10_21', '10_13_16', '10_13_21', '10_13_24', '10_16_24', '10_21_24']"
6461716,9,"['01_05_10', '02_03_10', '03_05_10', '04_05_10', '05_10_12', '05_10_21']"
885843,8,"['05_08_26', '05_16_26', '08_16_22', '08_16_26', '16_19_26', '16_23_26']"
1854822,7,"['03_16_17', '03_17_21', '07_16_24', '08_11_16', '08_11_21', '16_17_21']"
1965664,44,"['09_11_13', '09_13_15', '11_13_14', '11_13_22', '13_15_22']"
6473619,41,"['02_06_16', '02_06_21', '02_07_16', '02_07_21', '05_06_18']"
6434908,37,"['06_16_20', '07_16_20', '07_20_21', '16_20_23', '20_21_23']"
6677368,36,"['01_11_26', '01_18_26', '01_21_22', '01_21_26', '02_09_26']"
1520291,29,"['06_15_17', '08_17_18', '15_17_18', '16_17_18', '17_18_21']"
4032993,23,"['04_15_17', '11_15_17', '15_17_25', '15_19_22', '15_19_25']"
6468637,21,"['02_13_20', '02_20_26', '10_20_25', '13_20_25', '18_20_26']"
6693911,17,"['01_02_05', '01_04_05', '01_05_06', '01_05_21', '02_05_22']"
6696528,16,"['01_15_18', '02_07_24', '02_11_16', '07_15_24', '15_23_24']"
6592826,16,"['11_12_20', '11_20_21', '11_20_24', '12_20_21', '12_20_24']"
1891287,14,"['03_16_18', '03_16_23', '03_18_21', '12_16_18', '16_18_21']"
1549819,14,"['03_14_23', '05_07_14', '05_10_11', '05_11_13', '07_14_16']"
5000194,13,"['04_16_20', '05_15_20', '05_16_20', '08_15_20', '15_16_20']"
3455823,12,"['07_24_26', '08_11_26', '11_19_26', '17_24_26', '19_24_26']"
6686464,12,"['01_10_11', '01_10_25', '01_11_13', '02_10_11', '02_11_13']"
3432342,11,"['04_09_13', '09_13_14', '09_13_21', '09_13_24', '13_14_24']"
1841692,10,"['03_08_18', '03_10_18', '03_13_18', '03_13_19', '10_12_18']"
6672046,9,"['01_10_20', '02_10_20', '04_10_20', '10_20_23', '10_20_26']"
1865855,9,"['03_16_22', '03_16_26', '12_16_26', '16_22_24', '16_24_26']"
862282,8,"['05_13_21', '06_16_21', '09_13_16', '13_16_21', '13_16_26']"
1825125,8,"['03_05_22', '03_05_26', '03_14_21', '04_05_21', '05_12_22']"
1896404,7,"['03_04_16', '03_10_16', '03_16_21', '04_12_16', '12_16_21']"
1965883,7,"['04_10_24', '08_09_24', '09_10_24', '10_12_22', '10_22_24']"
5156056,7,"['01_08_22', '01_08_26', '01_19_26', '12_18_26', '18_24_26']"
6068023,6,"['01_04_16', '01_08_21', '01_15_16', '01_16_21', '05_15_24']"
1024233,29,"['09_16_26', '14_16_26', '14_21_22', '14_21_26']"
6700266,26,"['01_07_22', '01_22_23', '07_09_22', '09_22_23']"
1888628,22,"['03_05_17', '05_12_17', '05_16_17', '17_21_23']"
6070749,20,"['01_07_08', '01_07_19', '01_15_19', '15_19_20']"
6702609,20,"['01_02_21', '01_02_22', '01_02_25', '01_02_26']"
5693393,20,"['07_13_20', '08_13_20', '10_19_20', '13_19_20']"
6693783,17,"['01_03_15', '02_03_15', '03_15_20', '12_15_20']"
6693566,17,"['01_03_05', '01_05_12', '02_05_12', '05_12_20']"
4338809,17,"['03_09_19', '09_19_24', '11_13_19', '13_17_24']"
70940,16,"['13_17_21', '13_17_22', '17_21_22', '17_21_26']"
5759743,15,"['11_17_20', '11_19_20', '17_19_20', '23_24_26']"
6693690,14,"['01_03_10', '01_10_12', '02_10_12', '02_12_13']"
4676500,14,"['03_09_13', '03_13_14', '09_12_13', '12_13_14']"
901763,13,"['05_06_25', '06_08_09', '06_08_14', '14_16_23']"
1583302,12,"['08_13_15', '08_19_21', '13_15_19', '13_15_23']"
1520893,11,"['05_22_25', '06_21_22', '06_21_26', '16_22_25']"
6587608,11,"['01_08_20', '01_19_20', '09_19_20', '15_20_23']"
4745191,11,"['01_08_16', '08_12_16', '12_16_19', '12_16_23']"
1725862,10,"['03_22_26', '04_16_26', '16_21_26', '16_22_26']"
908630,9,"['04_08_26', '08_13_26', '08_21_26', '08_22_26']"
1547881,9,"['05_08_24', '06_08_24', '06_18_24', '06_19_24']"
6477077,9,"['01_24_26', '11_13_20', '13_15_20', '20_24_26']"
4873163,8,"['05_10_22', '05_13_22', '06_10_22', '06_13_22']"
1814112,8,"['04_16_25', '15_16_25', '15_21_25', '16_21_25']"
1555306,8,"['04_08_13', '07_08_13', '08_13_19', '08_13_23']"
6671222,8,"['01_08_09', '01_09_10', '02_09_10', '09_10_18']"
6209668,7,"['01_03_17', '01_12_17', '03_17_20', '12_17_20']"
33604,6,"['05_16_24', '05_16_25', '06_16_24', '16_23_24']"
888957,5,"['04_08_21', '08_16_21', '10_15_16', '16_21_23']"
2647429,39,"['06_11_19', '09_17_19', '09_17_23']"
32878,37,"['05_06_17', '05_06_19', '07_08_14']"
4691376,35,"['10_12_24', '10_12_25', '10_24_25']"
4685818,29,"['01_16_17', '11_16_17', '12_16_17']"
6413490,24,"['14_20_22', '14_20_25', '14_20_26']"
4736122,21,"['09_15_21', '12_15_21', '14_15_21']"
6233893,21,"['08_14_20', '14_16_20', '14_19_20']"
6702627,19,"['01_02_10', '01_02_12', '01_02_24']"
5001673,18,"['05_08_20', '05_18_20', '05_19_20']"
4998405,17,"['05_17_20', '07_19_20', '17_20_23']"
315791,17,"['04_13_17', '10_17_18', '13_17_18']"
1548734,14,"['05_06_16', '06_15_21', '16_23_25']"
6693666,14,"['01_03_07', '01_07_12', '03_07_09']"
6377943,14,"['05_07_25', '06_07_14', '06_07_25']"
1520913,13,"['05_13_24', '14_16_24', '16_24_25']"
5799780,11,"['01_06_10', '01_10_13', '01_10_21']"
4676509,10,"['03_09_10', '03_10_22', '09_10_12']"
1923209,10,"['05_07_22', '05_07_26', '07_16_22']"
1780690,10,"['08_19_24', '08_23_24', '16_19_24']"
4747025,10,"['03_16_20', '12_16_20', '16_20_21']"
6696593,10,"['02_03_23', '02_08_12', '12_18_20']"
6696634,9,"['01_13_15', '01_13_22', '01_13_25']"
4752385,9,"['03_09_16', '03_12_16', '09_12_16']"
4735776,9,"['12_16_22', '12_16_24', '15_16_24']"
6474581,9,"['02_08_25', '02_16_25', '16_18_25']"
6474872,9,"['02_10_14', '02_10_21', '10_14_18']"
4035996,8,"['01_08_19', '08_12_19', '12_19_23']"
6461818,8,"['02_10_24', '02_13_24', '02_21_24']"
6363722,8,"['02_03_17', '02_12_17', '02_17_24']"
4982069,8,"['02_03_21', '03_05_13', '05_12_13']"
6459822,8,"['03_14_20', '03_20_22', '03_20_25']"
907911,7,"['08_22_25', '10_22_25', '10_25_26']"
1891075,7,"['03_05_21', '03_15_21', '05_12_21']"
6080006,6,"['01_05_08', '05_12_18', '12_18_23']"
4672542,5,"['03_08_20', '08_16_20', '08_20_21']"
42863,4,"['08_10_21', '08_10_22', '10_22_23']"
1672244,4,"['03_10_26', '10_16_26', '10_24_26']"
1867092,4,"['03_16_24', '04_16_24', '16_21_24']"
778247,33,"['05_14_17', '05_17_25']"
6465206,29,"['02_14_16', '14_16_18']"
1656683,28,"['09_10_16', '10_14_16']"
872086,27,"['10_19_22', '13_19_22']"
3113778,25,"['08_09_25', '08_09_26']"
3493278,24,"['10_11_17', '10_11_19']"
872069,24,"['10_16_18', '13_16_18']"
6472480,23,"['02_10_16', '02_13_16']"
6670539,22,"['01_02_17', '02_11_17']"
6696125,21,"['02_08_11', '02_12_22']"
3525733,21,"['07_10_11', '10_11_23']"
6702580,20,"['01_07_20', '01_20_21']"
6537666,20,"['07_11_20', '11_20_23']"
552081,20,"['06_07_22', '08_14_17']"
902435,19,"['05_06_08', '06_08_18']"
6452362,19,"['06_11_20', '06_20_25']"
4019616,19,"['15_17_21', '15_17_22']"
2733189,18,"['06_09_17', '06_11_22']"
3060007,18,"['06_09_13', '08_09_10']"
6406295,18,"['14_17_20', '17_20_22']"
6695166,18,"['01_06_22', '01_06_26']"
195512,18,"['08_14_22', '08_14_26']"
6589784,17,"['01_13_17', '07_13_24']"
5693425,16,"['10_16_20', '13_16_20']"
3366855,15,"['07_18_20', '18_19_20']"
4745150,15,"['03_08_15', '08_12_15']"
4748866,15,"['03_11_16', '11_12_16']"
6239470,15,"['02_11_19', '02_17_19']"
6667691,15,"['14_18_20', '18_20_21']"
1988311,14,"['09_13_19', '13_14_19']"
1823474,14,"['06_15_25', '16_17_25']"
3316908,14,"['08_09_18', '09_16_19']"
6667422,13,"['06_20_22', '07_20_22']"
6695586,13,"['02_09_16', '09_16_18']"
469815,12,"['07_10_22', '07_10_26']"
1515970,12,"['08_18_25', '08_19_25']"
6678024,12,"['07_15_26', '15_23_26']"
3362069,12,"['13_14_18', '13_18_22']"
6454462,12,"['02_13_14', '13_14_20']"
461292,11,"['08_17_25', '13_17_25']"
1892344,11,"['03_10_21', '10_12_21']"
4753504,11,"['05_12_24', '12_16_25']"
4415782,11,"['10_18_24', '10_19_24']"
3555087,11,"['09_14_16', '13_14_15']"
1190073,11,"['10_14_22', '10_14_26']"
6639222,11,"['01_03_13', '01_12_13']"
4996516,10,"['10_18_20', '13_18_20']"
4360626,10,"['11_16_22', '11_16_25']"
4729584,9,"['03_15_17', '12_23_24']"
2466188,9,"['01_08_10', '08_10_20']"
5017218,9,"['13_17_20', '13_20_26']"
2102333,9,"['08_12_14', '10_12_14']"
5808972,9,"['01_17_26', '11_16_26']"
6475624,9,"['02_03_16', '02_12_16']"
42145,9,"['08_13_22', '13_18_26']"
6144208,9,"['06_13_15', '06_15_20']"
5670015,9,"['01_06_16', '01_10_16']"
6502601,8,"['01_10_23', '09_10_23']"
1793692,8,"['09_10_21', '10_14_21']"
1877800,8,"['05_17_24', '17_21_24']"
747183,8,"['04_08_25', '16_19_25']"
4674388,8,"['03_06_15', '06_15_16']"
188493,8,"['08_18_26', '08_19_26']"
6682794,8,"['08_09_20', '09_16_20']"
6485319,8,"['09_10_20', '10_20_24']"
3415973,7,"['10_11_22', '10_11_26']"
5367976,7,"['01_09_16', '01_14_16']"
6387938,7,"['02_09_13', '09_13_18']"
2180574,7,"['07_08_20', '07_13_15']"
1604247,7,"['08_17_26', '16_17_26']"
1958842,7,"['08_19_20', '16_19_20']"
1439096,7,"['07_08_26', '07_16_26']"
4987018,7,"['16_20_22', '16_22_23']"
1544841,7,"['05_09_21', '05_14_21']"
5436346,7,"['19_20_21', '19_20_26']"
4977368,7,"['02_03_08', '05_10_16']"
6461133,7,"['02_05_24', '20_21_24']"
5759894,6,"['01_10_17', '10_11_18']"
4287264,6,"['09_15_16', '11_15_16']"
1827616,6,"['03_05_09', '03_05_14']"
4677362,6,"['03_13_20', '13_20_21']"
5991493,6,"['01_11_16', '11_16_20']"
6702007,6,"['01_18_20', '09_18_20']"
6477906,6,"['01_10_26', '01_16_26']"
6461155,5,"['02_03_26', '03_20_26']"
5979243,5,"['01_08_24', '08_20_24']"
4211662,5,"['08_17_20', '17_18_20']"
5613804,5,"['08_20_25', '16_20_25']"
12642,4,"['16_18_22', '16_19_22']"
6354041,4,"['05_12_26', '05_24_26']"
1573291,4,"['03_10_25', '10_21_25']"
314321,4,"['08_10_18', '08_23_26']"
2606976,39,['11_15_18']
5336836,35,['01_14_26']
4023753,34,['11_16_19']
4359235,34,['13_15_17']
6468703,33,['02_17_21']
315955,31,['13_17_19']
6685949,28,['06_09_18']
6468691,27,['18_20_22']
36180,26,['14_16_19']
1877488,25,['03_07_10']
874788,25,['05_13_17']
6496047,24,['01_17_18']
1737861,23,['16_17_19']
817371,22,['10_18_21']
3450441,22,['16_17_24']
6699917,21,['01_05_22']
1818364,21,['07_16_19']
3894797,21,['11_13_18']
6431167,20,['13_20_23']
5152068,20,['07_10_20']
5088842,19,['01_19_22']
4747149,19,['12_13_18']
1549459,18,['06_08_15']
4675335,18,['12_13_17']
707209,17,['05_10_17']
5984812,17,['01_15_17']
6464647,17,['06_08_20']
5622039,17,['01_08_14']
6473733,17,['02_06_10']
4976653,17,['05_14_25']
6632715,17,['03_09_20']
4970491,16,['07_14_21']
6700055,16,['01_07_24']
1003212,16,['08_10_14']
704560,16,['13_14_17']
2240700,16,['09_19_26']
1572666,16,['08_13_17']
4749735,15,['10_11_12']
3122553,15,['05_09_24']
4597058,15,['06_11_17']
6682492,15,['07_15_22']
6465009,15,['02_16_20']
6702450,14,['01_20_24']
6376900,14,['05_12_25']
6695202,14,['01_16_25']
1827999,14,['03_08_22']
4630833,14,['08_24_25']
6508861,13,['01_09_11']
4982151,13,['02_03_13']
154513,13,['10_14_19']
33360,13,['05_16_22']
6416664,13,['17_20_21']
422955,13,['10_17_26']
6182386,13,['11_16_18']
1963729,13,['08_18_20']
6462169,13,['03_10_20']
1549654,13,['06_16_18']
1716031,12,['06_17_24']
6201823,12,['07_12_18']
1699092,12,['08_10_19']
2548188,12,['07_08_09']
741269,12,['08_14_25']
6576608,12,['15_20_22']
6667586,12,['01_16_20']
1877855,12,['05_11_21']
1896092,12,['10_12_16']
4999822,12,['15_20_21']
1828987,12,['13_18_21']
4498180,11,['08_18_24']
5853642,11,['13_15_18']
6471500,11,['02_13_17']
250977,11,['13_19_26']
4691220,11,['03_09_17']
6689074,11,['10_12_20']
3124609,11,['08_09_14']
6696589,11,['02_07_12']
3831719,10,['09_16_24']
4876288,10,['02_08_19']
1505476,10,['13_14_16']
1551560,10,['13_24_26']
6632306,10,['07_12_20']
2038847,9,['08_09_22']
5907002,9,['17_20_24']
1830517,9,['13_15_21']
5098923,9,['01_10_19']
6695346,9,['02_16_24']
6204088,9,['01_13_21']
6667255,9,['05_10_20']
3206561,8,['12_14_23']
6323852,8,['05_20_24']
6629365,8,['01_03_26']
1892199,8,['03_07_21']
4321521,8,['07_16_25']
6478575,8,['01_10_22']
6480121,8,['01_13_16']
757467,8,['05_10_26']
4677879,8,['08_12_24']
6702135,7,['01_02_13']
1053965,7,['08_10_26']
2028600,7,['10_11_21']
2540343,7,['08_09_23']
5002600,7,['01_10_24']
612065,7,['10_16_22']
1825077,7,['03_05_18']
1550207,7,['08_14_24']
6216654,7,['03_20_24']
4725581,7,['08_12_18']
1889269,7,['03_10_14']
2360306,7,['09_10_19']
6477768,7,['09_13_20']
6676165,7,['10_20_22']
1828363,7,['03_13_17']
3425225,6,['07_10_24']
3156140,6,['07_21_22']
1980000,6,['08_20_26']
5075027,6,['08_20_22']
6475293,6,['02_20_21']
6511381,6,['01_16_22']
885861,6,['16_18_26']
235968,6,['10_19_25']
5440090,6,['19_20_22']
5021291,6,['13_20_22']
6426090,6,['02_16_22']
4727762,5,['08_12_25']
4281778,5,['05_22_26']
4831262,5,['02_08_26']
5803771,5,['01_16_24']
1781981,5,['06_16_26']
1878505,5,['11_16_21']
1813242,5,['08_15_16']
9456,5,['16_18_24']
6502625,5,['01_10_18']
11285,4,['13_15_16']
6614364,4,['19_20_24']
905399,4,['06_16_22']
3381260,4,['16_20_24']
1668520,4,['08_16_24']
1427870,4,['08_17_22']
884362,4,['14_15_16']
4951619,4,['02_13_21']
6200520,4,['03_18_20']
4736259,4,['12_15_16']
1880355,3,['10_16_21']
1871684,3,['03_08_25']
1774883,3,['16_17_22']
1774464,3,['15_16_26']
5602194,3,['16_20_26']
4332389,3,['05_11_16']
6387180,3,['02_10_25']
4140687,3,['16_17_20']
728687,2,['13_16_24']
761194,2,['07_16_21']
1895261,2,['03_16_25']
6068910,2,['01_08_15']
6413358,2,['02_16_26']
