theme_set_id,theme_synonym_id,pattern,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,n_in_min
01_10_19,5779209,205831674603102251,2,0,2,0,4,6,6,6,2,5,2,3,3,1,-5,0,3,0,3,0,3,1,4,2,1,1,1
01_10_20,6676165,240786351235430426,3,2,1,0,6,8,4,0,3,5,0,2,2,2,-5,0,0,1,0,3,4,3,2,2,1,2,5
01_10_21,2401969,510364287035554721,1,0,1,0,5,8,3,0,2,6,0,3,4,1,-6,0,0,0,0,0,8,3,3,3,2,1,1
01_10_22,6478575,512674803031554104,3,0,1,0,3,5,3,0,4,5,1,2,2,1,-5,0,0,0,0,1,3,5,2,2,2,3,1
01_10_23,6671735,075831462043142031,3,2,1,0,5,7,5,4,3,5,1,2,3,2,-5,1,0,1,1,0,2,1,5,2,1,2,2
01_10_24,6234290,503671284004557724,2,1,1,0,3,3,2,0,4,5,1,4,2,2,-5,0,0,1,0,0,7,4,1,4,2,2,5
01_10_25,6387182,153670284044555721,2,2,1,0,5,7,3,3,2,5,1,2,3,2,-5,0,1,2,1,1,3,4,1,2,3,2,4
01_10_26,6477906,012734586031554421,3,0,1,0,3,4,3,2,3,4,2,2,2,1,-4,2,1,1,1,0,5,3,2,2,2,4,3
01_11_12,6693608,536208174404704571,3,2,4,0,5,3,3,0,3,3,3,5,1,2,-3,0,0,2,0,0,6,1,1,4,2,2,10
01_11_13,6700717,014536872032406251,4,1,1,0,6,6,4,0,4,3,3,2,2,3,-3,0,0,1,0,0,5,5,3,2,3,3,2
01_11_14,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_11_15,6689362,350872461040257450,3,2,2,0,7,3,3,0,3,1,3,3,1,2,-1,0,0,2,0,1,5,5,1,3,3,3,17
01_11_16,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_11_17,6520260,031584726002421531,3,0,1,0,5,6,5,0,3,3,3,2,2,1,-3,0,4,1,2,0,4,4,4,2,2,3,8
01_11_18,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_11_19,6520260,031584726002421531,3,0,1,0,5,6,5,0,3,3,3,2,2,1,-3,0,4,1,2,0,4,4,4,2,2,3,8
01_11_20,6702580,384725016022510037,4,2,1,0,8,7,5,0,4,2,2,2,1,3,-2,0,0,1,0,2,5,3,2,2,2,2,6
01_11_21,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
