theme_set_id,n,theme_set_dist_1,theme_set_dist_2,theme_set_dist_3,theme_set_dist_4,theme_set_dist_5,theme_set_dist_6
02_11_24,1,"(4, 0, 1)",,,,,
02_11_25,1,"(1, 0, 0)",,,,,
02_11_26,1,"(1, 0, 1)",,,,,
02_12_13,1,"(4, 1, 4)",,,,,
02_12_14,1,"(4, 9, 0)",,,,,
02_12_15,1,"(1, 9, 0)",,,,,
02_12_16,1,"(1, 9, 9)",,,,,
02_12_17,1,"(9, 4, 4)",,,,,
02_12_18,1,"(1, 4, 1)",,,,,
02_12_19,1,"(0, 16, 4)",,,,,
02_12_20,1,"(4, 1, 1)",,,,,
02_12_21,1,"(9, 0, 4)",,,,,
02_12_22,1,"(1, 9, 4)",,,,,
02_12_23,1,"(1, 9, 0)",,,,,
02_12_24,1,"(4, 1, 1)",,,,,
02_12_25,1,"(1, 9, 0)",,,,,
02_12_26,1,"(1, 4, 4)",,,,,
02_13_14,1,"(4, 4, 0)",,,,,
02_13_15,1,"(0, 9, 4)",,,,,
02_13_16,1,"(1, 1, 16)",,,,,
02_13_17,1,"(1, 4, 16)",,,,,
02_13_18,1,"(1, 1, 1)",,,,,
02_13_19,1,"(1, 1, 4)",,,,,
02_13_20,1,"(1, 4, 1)",,,,,
02_13_21,1,"(9, 0, 1)",,,,,
02_13_22,1,"(1, 4, 1)",,,,,
02_13_23,1,"(1, 1, 0)",,,,,
02_13_24,1,"(4, 4, 1)",,,,,
02_13_25,1,"(1, 4, 0)",,,,,
02_13_26,1,"(1, 4, 1)",,,,,
02_14_15,1,"(1, 1, 1)",,,,,
02_14_16,1,"(1, 1, 16)",,,,,
02_14_17,1,"(1, 1, 16)",,,,,
02_14_18,1,"(1, 1, 1)",,,,,
02_14_19,1,"(0, 4, 4)",,,,,
02_14_20,2,"(4, 0, 1)","(4, 1, 0)",,,,
02_14_21,1,"(4, 0, 4)",,,,,
02_14_22,1,"(4, 0, 1)",,,,,
02_14_23,1,"(1, 1, 1)",,,,,
02_14_24,1,"(4, 0, 4)",,,,,
02_14_25,1,"(4, 0, 0)",,,,,
02_14_26,1,"(4, 0, 1)",,,,,
02_15_16,1,"(1, 0, 9)",,,,,
02_15_17,1,"(1, 4, 4)",,,,,
02_15_18,1,"(1, 0, 1)",,,,,
02_15_19,1,"(1, 1, 4)",,,,,
02_15_20,1,"(1, 0, 1)",,,,,
02_15_21,1,"(1, 0, 9)",,,,,
02_15_22,1,"(1, 1, 1)",,,,,
02_15_23,2,"(0, 4, 0)","(1, 1, 0)",,,,
02_15_24,1,"(1, 0, 4)",,,,,
02_15_25,1,"(1, 0, 0)",,,,,
02_15_26,1,"(1, 1, 1)",,,,,
02_16_17,1,"(1, 36, 4)",,,,,
02_16_18,1,"(0, 16, 0)",,,,,
02_16_19,1,"(0, 16, 4)",,,,,
02_16_20,1,"(1, 16, 1)",,,,,
02_16_21,1,"(1, 9, 9)",,,,,
02_16_22,2,"(4, 9, 4)","(1, 16, 4)",,,,
02_16_23,1,"(0, 16, 0)",,,,,
02_16_24,1,"(1, 16, 4)",,,,,
02_16_25,1,"(1, 16, 0)",,,,,
02_16_26,1,"(4, 16, 0)",,,,,
02_17_18,1,"(0, 16, 0)",,,,,
02_17_19,1,"(9, 1, 1)",,,,,
02_17_20,1,"(4, 4, 1)",,,,,
02_17_21,1,"(1, 16, 9)",,,,,
02_17_22,1,"(1, 4, 4)",,,,,
02_17_23,1,"(0, 16, 0)",,,,,
02_17_24,1,"(9, 4, 1)",,,,,
02_17_25,2,"(1, 16, 0)","(1, 4, 1)",,,,
02_17_26,1,"(1, 4, 1)",,,,,
02_18_19,1,"(0, 0, 4)",,,,,
02_18_20,1,"(0, 1, 1)",,,,,
02_18_21,1,"(0, 0, 16)",,,,,
02_18_22,1,"(0, 0, 9)",,,,,
02_18_23,1,"(0, 0, 0)",,,,,
02_18_24,1,"(1, 1, 1)",,,,,
02_18_25,1,"(1, 1, 0)",,,,,
02_18_26,1,"(0, 0, 4)",,,,,
02_19_20,1,"(0, 4, 1)",,,,,
02_19_21,1,"(0, 4, 16)",,,,,
02_19_22,1,"(1, 4, 4)",,,,,
02_19_23,1,"(0, 4, 0)",,,,,
02_19_24,1,"(1, 9, 1)",,,,,
02_19_25,1,"(1, 4, 1)",,,,,
02_19_26,1,"(1, 4, 1)",,,,,
02_20_21,1,"(1, 1, 9)",,,,,
